Saison,Sujet_ID,Mots_Clés
01,1,"mindy, everybody, marcel, happy, alan"
01,2,"mom, love, friend, baby, carol"
01,3,"marcel, monkey, life, heckle, five"
01,4,"paul, shoe, part, carol, kind"
02,1,"phone, friend, head, walk, money"
02,2,"burke, woah, drake, love, told"
02,3,"greene, apartment, party, friend, cute"
02,4,"dog, dad, love, director, joseph"
02,5,"baby, ben, cat, smelly, end"
02,6,"julie, dad, cat, number, tattoo"
03,1,"love, sister, work, date, chick"
03,2,"friend, love, pick, message, janice"
03,3,"work, number, job, home, mark"
04,1,"love, kathy, baby, work, waltham"
04,2,"emily, baby, party, mom, wedding"
05,1,"howard, earring, soon, pizza, lost"
05,2,"soup, party, couch, room, ben"
05,3,"hand, emily, love, frank, work"
05,4,"hand, cat, kiss, friend, twin"
05,5,"sister, friend, love, emily, ben"
05,6,"work, sandwich, emily, life, wife"
05,7,"richard, cat, cup, love, waltham"
06,1,"ring, joke, jill, baby, apartment"
06,2,"married, love, friend, live, work"
06,3,"ralph, lauren, remember, bowmont, made"
06,4,"love, friend, table, married, life"
06,5,"present, married, joke, cry, money"
06,6,"room, move, barn, spring, pottery"
07,1,"wedding, married, work, love, room"
07,2,"chair, santa, hanukkah, ben, broke"
07,3,"candy, love, plan, coming, room"
07,4,"love, wedding, dad, dog, friend"
07,5,"date, wedding, love, probably, face"
07,6,"wedding, dad, parent, money, dress"
07,7,"love, left, help, face, grandmother"
08,1,"baby, friend, love, class, dress"
08,2,"baby, love, pregnant, father, sex"
08,3,"date, baby, work, game, hand"
08,4,"baby, love, crazy, remember, star"
08,5,"baby, picture, friend, love, ben"
08,6,"baby, pregnant, love, head, cheese"
08,7,"baby, date, sex, told, party"
09,1,"love, party, smoke, home, number"
09,2,"doctor, work, professor, seeing, party"
09,3,"love, job, david, mike, friend"
09,4,"baby, mike, emma, love, fun"
09,5,"emma, love, work, friend, told"
10,1,"baby, emma, friend, frank, cake"
10,2,"love, baby, mike, emma, house"
10,3,"love, charlie, house, job, room"
