Saison,Sujet_ID,Mots_Clés
01,1,"mindy, carol, barry, janice, stupid"
01,2,"mom, love, kind, head, kiss"
01,3,"marcel, minsk, mom, pact, everyone"
01,4,"brian, shoe, work, love, jack"
01,5,"five, dad, work, class, poker"
01,6,"marcel, monkey, heckle, friend, cat"
01,7,"paul, love, life, baby, room"
01,8,"key, susan, baby, carol, mine"
02,1,"head, told, phone, friend, treeger"
02,2,"burke, drake, party, bob, remore"
02,3,"greene, pick, person, cute, phone"
02,4,"dog, dad, director, joseph, richard"
02,5,"baby, ben, cat, smelly, life"
02,6,"dad, cat, tattoo, smelly, move"
02,7,"love, bracelet, apartment, fact, friend"
02,8,"eddie, egg, friend, love, phoebs"
03,1,"mary, sister, love, juice, box"
03,2,"friend, message, love, pick, somebody"
03,3,"work, mark, job, number, life"
03,4,"bang, stay, pete, love, date"
03,5,"janice, love, blah, hate, bed"
03,6,"news, shoe, told, happy, close"
03,7,"chick, money, tree, love, work"
04,1,"waltham, kathy, help, friend, club"
04,2,"mom, wedding, apartment, friend, pant"
04,3,"love, wedding, baby, emily, making"
04,4,"baby, party, book, treeger, job"
04,5,"emily, fun, baby, party, love"
05,1,"howard, earring, soon, pizza, lost"
05,2,"soup, party, couch, room, ben"
05,3,"hand, emily, love, frank, work"
05,4,"hand, cat, kiss, friend, twin"
05,5,"sister, friend, love, emily, ben"
05,6,"work, sandwich, emily, life, wife"
05,7,"richard, cat, cup, love, waltham"
06,1,"ring, joke, date, jill, happy"
06,2,"love, live, attack, cry, job"
06,3,"ralph, lauren, ring, made, remember"
06,4,"table, paul, fun, dad, black"
06,5,"joke, cry, roommate, room, credit"
06,6,"room, move, barn, pottery, lamp"
06,7,"married, love, marriage, divorce, break"
06,8,"friend, money, thursday, joke, present"
07,1,"work, wedding, room, office, married"
07,2,"chair, santa, ben, award, present"
07,3,"love, candy, drunk, help, room"
07,4,"love, dad, wedding, dog, bike"
07,5,"date, left, party, face, probably"
07,6,"wedding, parent, dad, love, money"
08,1,"baby, friend, class, love, veto"
08,2,"baby, love, sex, alone, pregnant"
08,3,"date, fun, work, baby, hot"
08,4,"baby, sex, club, star, six"
08,5,"baby, friend, picture, love, boot"
08,6,"baby, love, cheese, work, pregnant"
08,7,"baby, date, friend, help, sex"
08,8,"party, room, private, dog, bachelor"
09,1,"love, number, smoke, life, party"
09,2,"party, doctor, work, enough, present"
09,3,"job, tulsa, love, kind, christmas"
09,4,"baby, emma, mike, love, win"
09,5,"propose, friend, work, relationship, love"
09,6,"love, emma, baby, friend, home"
09,7,"mike, david, gone, love, home"
10,1,"baby, friend, emma, cake, love"
10,2,"love, wedding, emma, baby, mike"
10,3,"sex, emma, job, room, charlie"
10,4,"called, baby, work, room, emma"
10,5,"frank, love, baby, mike, emma"
10,6,"love, house, plane, game, bed"
