,acteur,ligne,scene_num,saison,episode,nom fichier,texte nettoyer,token,nombres de tokens,nombres de mots
0,Monica,"Oh, the way you crushed Mike at ping pong was such a turn-on.You wanna...?",1,10,01,S10E01 Joey and Rachel Kiss.txt, the way you crushed mike at ping pong was such a turn on you wanna,"['crushed', 'mike', 'ping', 'pong']",4,15
1,Chandler,"You know, I'd love to, but I'm a little tired.",1,10,01,S10E01 Joey and Rachel Kiss.txt,you know i d love to but i m a little tired,"['love', 'tired']",2,12
2,Monica,I'll put a pillowcase over my head.,1,10,01,S10E01 Joey and Rachel Kiss.txt,i ll put a pillowcase over my head,"['pillowcase', 'head']",2,8
3,Chandler,You're on!,1,10,01,S10E01 Joey and Rachel Kiss.txt,you re on,[],0,3
4,Phoebe,Hey!,1,10,01,S10E01 Joey and Rachel Kiss.txt,hey,[],0,1
5,Monica,What's up?,1,10,01,S10E01 Joey and Rachel Kiss.txt,what s up,[],0,3
6,Phoebe,"Well, okay, Mike's taking a shower, which by the way there's no law against. And then we're gonna grab some food, so if you want...",1,10,01,S10E01 Joey and Rachel Kiss.txt,well okay mike s taking a shower which by the way there s no law against and then we re gonna grab some food so if you want,"['mike', 'taking', 'shower', 'law', 'grab', 'food']",6,28
7,Ross,... finally...,1,10,01,S10E01 Joey and Rachel Kiss.txt,finally,['finally'],1,1
8,Phoebe,Is that Ross?,1,10,01,S10E01 Joey and Rachel Kiss.txt,is that ross,[],0,3
9,Monica,"Yeah, you can hear everything through these stupid walls.",1,10,01,S10E01 Joey and Rachel Kiss.txt,yeah you can hear everything through these stupid walls,"['stupid', 'walls']",2,9
10,Phoebe,Sounds like he's with someone.,1,10,01,S10E01 Joey and Rachel Kiss.txt,sounds like he s with someone,['sounds'],1,6
11,Chandler,"He could be alone. This morning I heard him do push-ups, and then talk to his triceps.",1,10,01,S10E01 Joey and Rachel Kiss.txt,he could be alone this morning i heard him do push ups and then talk to his triceps,"['alone', 'heard', 'push', 'ups', 'triceps']",5,18
12,Monica,"Wait a minute, I think Phoebe's right. You know I hear someone else in there with him.",1,10,01,S10E01 Joey and Rachel Kiss.txt,wait a minute i think phoebe s right you know i hear someone else in there with him,[],0,18
13,Charlie,Ooh... Dr. Geller!,1,10,01,S10E01 Joey and Rachel Kiss.txt, dr geller,[],0,2
14,Ross,"God, you're amazing... I didn't even have to ask you to call me that.",1,10,01,S10E01 Joey and Rachel Kiss.txt,god you re amazing i didn t even have to ask you to call me that,['amazing'],1,16
15,Monica,"Oh my God, that's Charlie!",1,10,01,S10E01 Joey and Rachel Kiss.txt, my god that s charlie,['charlie'],1,5
16,Chandler,She's cheating on Joey with Ross!,1,10,01,S10E01 Joey and Rachel Kiss.txt,she s cheating on joey with ross,['cheating'],1,7
17,Phoebe,Oh that tart... floozy... giant...,1,10,01,S10E01 Joey and Rachel Kiss.txt, that tart floozy giant,"['tart', 'floozy', 'giant']",3,4
18,Monica,I'm not sure about this.,1,10,01,S10E01 Joey and Rachel Kiss.txt,i m not sure about this,[],0,6
19,Phoebe,"Yeah, you're right. This is none of our business.",1,10,01,S10E01 Joey and Rachel Kiss.txt,yeah you re right this is none of our business,"['none', 'business']",2,10
20,Monica,No I'm not sure that it's the best way to hear everything. Someone get me a glass!,1,10,01,S10E01 Joey and Rachel Kiss.txt,no i m not sure that it s the best way to hear everything someone get me a glass,['glass'],1,19
21,Phoebe,"Oh, I'm not gonna do this, okay? I'm not gonna eavesdrop on my friend.",1,10,01,S10E01 Joey and Rachel Kiss.txt, i m not gonna do this okay i m not gonna eavesdrop on my friend,"['eavesdrop', 'friend']",2,15
22,Rachel,Ooh... I love Barbados!,1,10,01,S10E01 Joey and Rachel Kiss.txt, i love barbados,"['love', 'barbados']",2,3
23,Joey,Ooh... I can't believe I'm kissing you. I'm kissing Rachel!,1,10,01,S10E01 Joey and Rachel Kiss.txt, i can t believe i m kissing you i m kissing rachel,"['kissing', 'kissing']",2,12
24,Rachel,"I know, I'm her!",1,10,01,S10E01 Joey and Rachel Kiss.txt,i know i m her,[],0,5
25,Phoebe,Rachel and Joey! It's Rachel and Joey!!!,1,10,01,S10E01 Joey and Rachel Kiss.txt,rachel and joey it s rachel and joey,[],0,8
26,Monica,What?,1,10,01,S10E01 Joey and Rachel Kiss.txt,what,[],0,1
27,Phoebe,Get over here!,1,10,01,S10E01 Joey and Rachel Kiss.txt,get over here,[],0,3
28,Rachel,ooh...,1,10,01,S10E01 Joey and Rachel Kiss.txt,,[],0,0
29,Chandler,Wow!,1,10,01,S10E01 Joey and Rachel Kiss.txt,wow,[],0,1
30,Monica,"Oh my God, I love how thin these walls are!",1,10,01,S10E01 Joey and Rachel Kiss.txt, my god i love how thin these walls are,"['love', 'thin', 'walls']",3,9
31,Monica,Thank you. OPENING CREDITS,1,10,01,S10E01 Joey and Rachel Kiss.txt,thank you opening credits,"['opening', 'credits']",2,4
32,Rachel,"Hey, you know, before you said that nothing could happen between us? What changed?",1,10,01,S10E01 Joey and Rachel Kiss.txt,hey you know before you said that nothing could happen between us what changed,['changed'],1,14
33,Joey,"Well, I only said that because of Ross, you know. Then I saw him kissing Charlie...",1,10,01,S10E01 Joey and Rachel Kiss.txt,well i only said that because of ross you know then i saw him kissing charlie,"['saw', 'kissing', 'charlie']",3,16
34,Rachel,"What? Ross and Charlie?  Wow! She's really making her way through the group, huh? Ah, who am I to talk?",1,10,01,S10E01 Joey and Rachel Kiss.txt,what ross and charlie wow she s really making her way through the group huh  who am i to talk,"['charlie', 'making', 'group']",3,20
35,Monica,I can't believe this. Rachel and Joey?,1,10,01,S10E01 Joey and Rachel Kiss.txt,i can t believe this rachel and joey,[],0,8
36,Chandler,How about the dinosaur twins in the other room? No-one is manning that wall!,1,10,01,S10E01 Joey and Rachel Kiss.txt,how about the dinosaur twins in the other room no one is manning that wall,"['dinosaur', 'twins', 'room', 'manning', 'wall']",5,15
37,Monica,I'm on it!,1,10,01,S10E01 Joey and Rachel Kiss.txt,i m on it,[],0,4
38,Chandler,Anything?,1,10,01,S10E01 Joey and Rachel Kiss.txt,anything,[],0,1
39,Monica,I think I hear curtains closing...,1,10,01,S10E01 Joey and Rachel Kiss.txt,i think i hear curtains closing,"['curtains', 'closing']",2,6
40,Phoebe,We've got shoes being kicked off over here.,1,10,01,S10E01 Joey and Rachel Kiss.txt,we ve got shoes being kicked off over here,"['shoes', 'kicked']",2,9
41,Monica,"Bedsprings, unmistakable!",1,10,01,S10E01 Joey and Rachel Kiss.txt,bedsprings unmistakable,"['bedsprings', 'unmistakable']",2,2
42,Chandler,You do realise that's your brother?,1,10,01,S10E01 Joey and Rachel Kiss.txt,you do realise that s your brother,"['realise', 'brother']",2,7
43,Monica,"Not until you said it. Somebody switch!  Wait a minute... Ross and Charlie, Joey and Rachel, Phoebe and Mike! We're the only people leaving with the same person we came with.",1,10,01,S10E01 Joey and Rachel Kiss.txt,not until you said it somebody switch wait a minute ross and charlie joey and rachel phoebe and mike we re the only people leaving with the same person we came with,"['somebody', 'switch', 'charlie', 'mike', 'leaving', 'person', 'came']",7,32
44,Chandler,That's not true. I came with Monica and I'm leaving with Weird Al.,1,10,01,S10E01 Joey and Rachel Kiss.txt,that s not true i came with monica and i m leaving with weird al,"['true', 'came', 'leaving', 'weird']",4,15
45,Monica,"Okay, I've had it with the hair jokes. Tomorrow morning, before we leave, I'm going to the salon.",1,10,01,S10E01 Joey and Rachel Kiss.txt,okay i ve had it with the hair jokes tomorrow morning before we leave i m going to the salon,"['hair', 'jokes', 'salon']",3,20
46,Chandler,Okay Buckwheat!,1,10,01,S10E01 Joey and Rachel Kiss.txt,okay buckwheat,['buckwheat'],1,2
47,Phoebe,"You gotta hear this, it's great... It's like free porn!",1,10,01,S10E01 Joey and Rachel Kiss.txt,you gotta hear this it s great it s like free porn,"['free', 'porn']",2,12
48,Ross,Weh...*sigh*,1,10,01,S10E01 Joey and Rachel Kiss.txt,weh sigh,"['weh', 'sigh']",2,2
49,Charlie,uhm... Is everything okay?,1,10,01,S10E01 Joey and Rachel Kiss.txt,uhm is everything okay,[],0,4
50,Ross,"Yeah, It's just... I don't think I can do this...",1,10,01,S10E01 Joey and Rachel Kiss.txt,yeah it s just i don t think i can do this,[],0,12
51,Charlie,"Ooh... Is it because of what might be on the bedspread, because I saw that news report too, with the infra red and the ... I could just...",1,10,01,S10E01 Joey and Rachel Kiss.txt, is it because of what might be on the bedspread because i saw that news report too with the infra red and the i could just,"['bedspread', 'saw', 'news', 'report', 'infra', 'red']",6,26
52,Ross,"No, NO!  Look, I need to talk to Joey. I mean, you guys just broke up. Before anything more happens between us, I need to know he's okay with it.",1,10,01,S10E01 Joey and Rachel Kiss.txt,no no look i need to talk to joey i mean you guys just broke up before anything more happens between us i need to know he s okay with it,"['broke', 'happens']",2,31
53,Charlie,I uhm... I completely understand.,1,10,01,S10E01 Joey and Rachel Kiss.txt,i uhm i completely understand,['completely'],1,5
54,Ross,"Alright, I'm gonna go find them...  I just need a... need a before I can... you know.  Grandma... grandma... grandma...  Okay, I see you later.",1,10,01,S10E01 Joey and Rachel Kiss.txt,alright i m gonna go find them i just need a need a before i can you know grandma grandma grandma okay i see you later,"['grandma', 'grandma', 'grandma', 'later']",4,26
55,Charlie,Okay...,1,10,01,S10E01 Joey and Rachel Kiss.txt,okay,[],0,1
56,Phoebe,That's the door. He's gone...,1,10,01,S10E01 Joey and Rachel Kiss.txt,that s the door he s gone,"['door', 'gone']",2,7
57,Chandler,And she's... turning on the TV... and watching... Miss Congeniality!,1,10,01,S10E01 Joey and Rachel Kiss.txt,and she s turning on the tv and watching miss congeniality,"['turning', 'watching', 'congeniality']",3,11
58,Monica,"Honey, if you know it through a wall, you know it too well!",1,10,01,S10E01 Joey and Rachel Kiss.txt,honey if you know it through a wall you know it too well,['wall'],1,13
59,Ross,"Hey, what are you guys doing?",1,10,01,S10E01 Joey and Rachel Kiss.txt,hey what are you guys doing,[],0,6
60,Phoebe,"Oh, we're just... we're sad to go so we're just saying goodbye to the hotel.  I love you... Paradise Hotel, Golf resort and Spa...",1,10,01,S10E01 Joey and Rachel Kiss.txt, we re just we re sad to go so we re just saying goodbye to the hotel i love you paradise hotel golf resort and spa,"['sad', 'saying', 'hotel', 'love', 'paradise', 'hotel', 'golf', 'resort', 'spa']",9,26
61,Monica,"Yeah, we had a great time, thank you!",1,10,01,S10E01 Joey and Rachel Kiss.txt,yeah we had a great time thank you,[],0,8
62,Chandler,Bye!,1,10,01,S10E01 Joey and Rachel Kiss.txt,bye,[],0,1
63,Ross,"Okay, uhm... Hey, you guys seen Joey anywhere?",1,10,01,S10E01 Joey and Rachel Kiss.txt,okay uhm hey you guys seen joey anywhere,"['seen', 'anywhere']",2,8
64,Chandler,He's probably in his room with his current girlfriend Charlie. That's the situation as we know it...,1,10,01,S10E01 Joey and Rachel Kiss.txt,he s probably in his room with his current girlfriend charlie that s the situation as we know it,"['probably', 'room', 'current', 'girlfriend', 'charlie', 'situation']",6,19
65,Ross,"Well, if you see him could you please tell him I'm looking for him?",1,10,01,S10E01 Joey and Rachel Kiss.txt,well if you see him could you please tell him i m looking for him,[],0,15
66,Chandler,You got it!,1,10,01,S10E01 Joey and Rachel Kiss.txt,you got it,[],0,3
67,Ross,Thanks!  Thank you!,1,10,01,S10E01 Joey and Rachel Kiss.txt,thanks thank you,[],0,3
68,Monica,"Other wall, people! Other wall!",1,10,01,S10E01 Joey and Rachel Kiss.txt,other wall people other wall,"['wall', 'wall']",2,5
69,Ross,"Rach, you there?",1,10,01,S10E01 Joey and Rachel Kiss.txt,rach you there,[],0,3
70,Joey,"Oh my God, it's Ross. What are we gonna do?",1,10,01,S10E01 Joey and Rachel Kiss.txt, my god it s ross what are we gonna do,[],0,10
71,Rachel,"Oh, ju-ju-just stay calm. Just be calm. For all he knows we're just hanging out together. Right? Just be nonchalant.  That's not nonchalant!",1,10,01,S10E01 Joey and Rachel Kiss.txt, ju ju just stay calm just be calm for all he knows we re just hanging out together right just be nonchalant that s not nonchalant,"['stay', 'calm', 'calm', 'knows', 'hanging', 'nonchalant', 'nonchalant']",7,26
72,Joey,No idea what it means.,1,10,01,S10E01 Joey and Rachel Kiss.txt,no idea what it means,"['idea', 'means']",2,5
