,acteur,nb_lignes,nb_mots_total
0,A Casino Boss,1,10
1,A Crew Member,3,7
2,A Disembodied Voice,1,2
3,A Drunken Gambler,1,11
4,A Female Student,1,8
5,A Male Customer,1,9
6,A Student,1,6
7,A Tourist,1,8
8,A Waiter,1,10
9,A Waiter In Drag,1,6
10,A Woman,3,15
11,Actor,1,22
12,Adoption Agency Guy,1,1
13,Adrienne,2,12
14,Agency Guy,11,110
15,Air Stewardess,7,85
16,Airline Employee,4,46
17,Alan,6,47
18,Alex,1,1
19,Alexandra Steele,1,13
20,Alice,42,546
21,Alison,1,19
22,All,328,821
23,Allesandro,11,174
24,Amanda,21,289
25,Amber,5,28
26,Amger,1,9
27,Amy,125,1416
28,Anchorwoman,1,55
29,Andrea,2,10
30,Angela,13,97
31,Annabelle,7,46
32,Another Extra,1,2
33,Another Scientist,2,25
34,Another Tour Guide,1,17
35,Anxious Wedding Guest,4,9
36,Arthur,2,10
37,Ashley,1,5
38,Assistant,11,135
39,Attendant,1,6
40,Aunt Iris,5,61
41,Aunt Lillian,8,64
42,Aunt Lisa,5,26
43,Aunt Millie,3,19
44,Aurora,29,216
45,Ballerina,3,7
46,Bandleader,3,45
47,Bank Officer,2,28
48,Barry,39,432
49,Bass Singer,1,5
50,Ben,77,260
51,Benjamin,37,486
52,Bernice,3,33
53,Best Man,3,92
54,Big Bully,22,164
55,Big Nosed Rachel,11,206
56,Bill,10,88
57,Billy,10,82
58,Billy Crystal,1,19
59,Bitsy,16,148
60,Bitter Lady,3,55
61,Bitter Woman,1,11
62,Blackjack Dealer,2,6
63,Blonde Girl,1,5
64,Bob,18,183
65,Bobby,9,79
66,Bonnie,8,44
67,Boss,5,56
68,Both,18,62
69,Boy,1,1
70,Boy In The Cape,6,36
71,Boys,1,1
72,Brenda,14,111
73,Burt,3,31
74,Cailin,6,47
75,Caitlin,25,119
76,Carl,9,96
77,Carol,199,1527
78,Caroline,6,57
79,Casey,2,4
80,Cashier,7,82
81,Cassie,16,148
82,Casting Assistant,1,7
83,Casting Guy,4,16
84,Catherine,4,52
85,Cecilia,49,654
86,Celia,6,25
87,Chan,82,1162
88,Chandler,8402,92175
89,Chandlers,1,6
90,Charity Guy,18,213
91,Charlie,191,1872
92,Charlton Heston,9,135
93,Chase Lassiter,1,5
94,Cheryl,17,116
95,Chip,18,188
96,Chloe,31,295
97,Claudia,3,35
98,Clerk,7,39
99,Cliff,20,175
100,Clown,1,2
101,Colleen,9,92
102,Coma Guy,7,44
103,Conan,21,482
104,Cookie,4,34
105,Cop,14,198
106,Courtney,14,156
107,Cowgirl,1,6
108,Croupler,2,11
109,Customer,12,67
110,Customers,1,2
111,Cynthia,4,53
112,Dan,7,51
113,Dana,11,160
114,Danielle,5,58
115,Danny,58,424
116,Dave,4,13
117,David,137,1930
118,Delivery Girl,1,2
119,Delivery Guy,5,36
120,Delivery Room Nurse,1,1
121,Dennis Phillips,8,92
122,Devon,4,35
123,Dick Clark,2,28
124,Dina,31,358
125,Director,60,648
126,Dirk,3,32
127,Doctor,20,191
128,Doctor Connelly,5,89
129,Don,12,158
130,Donny,11,254
