,acteur,mot,nb_fois,frequence_%
0,A Casino Boss,work,1,50.0
1,A Casino Boss,break,1,50.0
2,A Crew Member,scene,2,100.0
3,A Drunken Gambler,lucky,1,100.0
4,A Male Customer,weird,1,50.0
5,A Male Customer,birthday,1,50.0
6,A Student,happening,1,50.0
7,A Student,accent,1,50.0
8,A Tourist,mind,1,50.0
9,A Tourist,picture,1,50.0
10,A Waiter,dragon,1,25.0
11,A Waiter,tips,1,25.0
12,A Waiter,monday,1,25.0
13,A Waiter,tuesday,1,25.0
14,A Waiter In Drag,taken,1,50.0
15,A Waiter In Drag,order,1,50.0
16,A Woman,taking,1,25.0
17,A Woman,whatever,1,25.0
18,A Woman,comes,1,25.0
19,A Woman,hurry,1,25.0
20,Actor,glove,1,12.5
21,Actor,upon,1,12.5
22,Actor,hand,1,12.5
23,Actor,touch,1,12.5
24,Actor,thy,1,12.5
25,Actor,cheek,1,12.5
26,Actor,casting,1,12.5
27,Actor,director,1,12.5
28,Adrienne,telling,1,50.0
29,Adrienne,anybody,1,50.0
30,Agency Guy,erica,3,13.6364
31,Agency Guy,comfortable,1,4.5455
32,Agency Guy,moment,1,4.5455
33,Agency Guy,meet,1,4.5455
34,Agency Guy,acquainted,1,4.5455
35,Agency Guy,question,1,4.5455
36,Agency Guy,system,1,4.5455
37,Agency Guy,assures,1,4.5455
38,Agency Guy,total,1,4.5455
39,Agency Guy,anonimity,1,4.5455
40,Agency Guy,proud,1,4.5455
41,Agency Guy,preliminary,1,4.5455
42,Agency Guy,forms,1,4.5455
43,Agency Guy,open,1,4.5455
44,Agency Guy,adoption,1,4.5455
45,Agency Guy,explain,1,4.5455
46,Agency Guy,impossible,1,4.5455
47,Agency Guy,check,1,4.5455
48,Agency Guy,file,1,4.5455
49,Agency Guy,excuse,1,4.5455
50,Air Stewardess,passenger,5,26.3158
51,Air Stewardess,philange,4,21.0526
52,Air Stewardess,plane,3,15.7895
53,Air Stewardess,sit,2,10.5263
54,Air Stewardess,excuse,1,5.2632
55,Air Stewardess,left,1,5.2632
56,Air Stewardess,flying,1,5.2632
57,Air Stewardess,afraid,1,5.2632
58,Air Stewardess,seat,1,5.2632
59,Airline Employee,may,1,11.1111
60,Airline Employee,tickets,1,11.1111
61,Airline Employee,move,1,11.1111
62,Airline Employee,thumb,1,11.1111
63,Airline Employee,seat,1,11.1111
64,Airline Employee,number,1,11.1111
65,Airline Employee,class,1,11.1111
66,Airline Employee,ticket,1,11.1111
67,Airline Employee,afraid,1,11.1111
68,Alan,alan,1,11.1111
69,Alan,heard,1,11.1111
70,Alan,schho,1,11.1111
71,Alan,guyschh,1,11.1111
72,Alan,relieved,1,11.1111
73,Alan,stand,1,11.1111
74,Alan,friends,1,11.1111
75,Alan,closing,1,11.1111
76,Alan,credits,1,11.1111
77,Alexandra Steele,coasts,1,20.0
78,Alexandra Steele,beautiful,1,20.0
79,Alexandra Steele,weather,1,20.0
80,Alexandra Steele,york,1,20.0
81,Alexandra Steele,sunny,1,20.0
82,Alice,frank,6,6.383
83,Alice,babies,5,5.3191
84,Alice,none,3,3.1915
85,Alice,baby,3,3.1915
86,Alice,kids,2,2.1277
87,Alice,age,2,2.1277
88,Alice,love,2,2.1277
89,Alice,though,2,2.1277
90,Alice,less,2,2.1277
91,Alice,doctors,2,2.1277
92,Alice,home,2,2.1277
93,Alice,family,2,2.1277
94,Alice,pictured,1,1.0638
95,Alice,student,1,1.0638
96,Alice,talked,1,1.0638
97,Alice,living,1,1.0638
98,Alice,realise,1,1.0638
99,Alice,difference,1,1.0638
100,Alice,comes,1,1.0638
101,Alice,matter,1,1.0638
102,Alison,major,1,20.0
103,Alison,useless,1,20.0
104,Alison,often,1,20.0
105,Alison,classifieds,1,20.0
106,Alison,philosopher,1,20.0
107,All,yay,7,4.0936
108,All,surprise,5,2.924
109,All,nooo,4,2.3392
110,All,luck,4,2.3392
111,All,credits,4,2.3392
112,All,kidding,3,1.7544
113,All,punch,3,1.7544
114,All,end,3,1.7544
115,All,love,3,1.7544
116,All,absolutely,3,1.7544
117,All,shoot,3,1.7544
118,All,drop,3,1.7544
119,All,woah,3,1.7544
120,All,nubbin,3,1.7544
121,All,celebrating,3,1.7544
122,All,sweet,2,1.1696
123,All,mmm,2,1.1696
