,id_conv,acteur,mot,nb_fois,frequence_%
0,0,Monica,crushed,1,25.0
1,0,Monica,mike,1,25.0
2,0,Monica,ping,1,25.0
3,0,Monica,pong,1,25.0
4,1,Chandler,love,1,50.0
5,1,Chandler,tired,1,50.0
6,2,Monica,pillowcase,1,50.0
7,2,Monica,head,1,50.0
8,6,Phoebe,mike,1,16.6667
9,6,Phoebe,taking,1,16.6667
10,6,Phoebe,shower,1,16.6667
11,6,Phoebe,law,1,16.6667
12,6,Phoebe,grab,1,16.6667
13,6,Phoebe,food,1,16.6667
14,7,Ross,finally,1,100.0
15,9,Monica,stupid,1,50.0
16,9,Monica,walls,1,50.0
17,10,Phoebe,sounds,1,100.0
18,11,Chandler,alone,1,20.0
19,11,Chandler,heard,1,20.0
20,11,Chandler,push,1,20.0
21,11,Chandler,ups,1,20.0
22,11,Chandler,triceps,1,20.0
23,14,Ross,amazing,1,100.0
24,15,Monica,charlie,1,100.0
25,16,Chandler,cheating,1,100.0
26,17,Phoebe,tart,1,33.3333
27,17,Phoebe,floozy,1,33.3333
28,17,Phoebe,giant,1,33.3333
29,19,Phoebe,none,1,50.0
30,19,Phoebe,business,1,50.0
31,20,Monica,glass,1,100.0
32,21,Phoebe,eavesdrop,1,50.0
33,21,Phoebe,friend,1,50.0
34,22,Rachel,love,1,50.0
35,22,Rachel,barbados,1,50.0
36,23,Joey,kissing,2,100.0
37,30,Monica,love,1,33.3333
38,30,Monica,thin,1,33.3333
39,30,Monica,walls,1,33.3333
40,31,Monica,opening,1,50.0
41,31,Monica,credits,1,50.0
42,32,Rachel,changed,1,100.0
43,33,Joey,saw,1,33.3333
44,33,Joey,kissing,1,33.3333
45,33,Joey,charlie,1,33.3333
46,34,Rachel,charlie,1,33.3333
47,34,Rachel,making,1,33.3333
48,34,Rachel,group,1,33.3333
49,36,Chandler,dinosaur,1,20.0
50,36,Chandler,twins,1,20.0
51,36,Chandler,room,1,20.0
52,36,Chandler,manning,1,20.0
53,36,Chandler,wall,1,20.0
54,39,Monica,curtains,1,50.0
55,39,Monica,closing,1,50.0
56,40,Phoebe,shoes,1,50.0
57,40,Phoebe,kicked,1,50.0
58,41,Monica,bedsprings,1,50.0
59,41,Monica,unmistakable,1,50.0
60,42,Chandler,realise,1,50.0
61,42,Chandler,brother,1,50.0
62,43,Monica,somebody,1,14.2857
63,43,Monica,switch,1,14.2857
64,43,Monica,charlie,1,14.2857
65,43,Monica,mike,1,14.2857
66,43,Monica,leaving,1,14.2857
67,43,Monica,person,1,14.2857
68,43,Monica,came,1,14.2857
69,44,Chandler,true,1,25.0
70,44,Chandler,came,1,25.0
71,44,Chandler,leaving,1,25.0
72,44,Chandler,weird,1,25.0
73,45,Monica,hair,1,33.3333
74,45,Monica,jokes,1,33.3333
75,45,Monica,salon,1,33.3333
76,46,Chandler,buckwheat,1,100.0
77,47,Phoebe,free,1,50.0
78,47,Phoebe,porn,1,50.0
79,48,Ross,weh,1,50.0
80,48,Ross,sigh,1,50.0
81,51,Charlie,bedspread,1,16.6667
