,saison,episode,nbActeurParEp,nbEchangesParEp,nbMotsTotal,moyenneMotsParEchanges
0,01,01,12,300,3559,11.863333333333333
1,01,02,13,225,2251,10.004444444444445
2,01,03,11,258,2545,9.864341085271318
3,01,04,15,253,2522,9.968379446640316
4,01,05,10,238,2585,10.861344537815127
5,01,06,9,219,2632,12.018264840182649
6,01,07,9,225,2067,9.186666666666667
7,01,08,12,198,1891,9.55050505050505
8,01,09,12,227,2487,10.955947136563877
9,01,10,13,229,2660,11.615720524017467
10,01,11,11,256,2540,9.921875
11,01,12,12,258,2361,9.151162790697674
12,01,13,9,212,2388,11.264150943396226
13,01,14,12,180,2144,11.911111111111111
14,01,15,10,243,2470,10.164609053497943
15,01,16,17,262,2704,10.320610687022901
16,01,17,10,248,2292,9.241935483870968
17,01,18,10,279,2453,8.792114695340501
18,01,19,10,227,2655,11.69603524229075
19,01,20,12,245,2742,11.191836734693878
20,01,21,12,204,2373,11.632352941176471
21,01,22,11,274,2421,8.835766423357665
22,01,23,13,253,2428,9.596837944664031
23,01,24,11,260,2752,10.584615384615384
24,02,01,10,218,2473,11.344036697247706
25,02,02,15,204,2144,10.509803921568627
26,02,03,9,186,2428,13.053763440860216
27,02,04,12,214,2788,13.02803738317757
28,02,05,11,276,2720,9.855072463768115
29,02,06,15,221,2569,11.624434389140271
30,02,07,12,209,2741,13.114832535885167
31,02,08,8,208,2597,12.485576923076923
32,02,09,9,232,2804,12.086206896551724
33,02,10,13,296,3071,10.375
34,02,11,13,232,2860,12.327586206896552
35,02,12,21,465,5150,11.075268817204302
36,02,14,12,210,2814,13.4
37,02,15,9,223,2151,9.645739910313901
38,02,16,9,228,2660,11.666666666666666
39,02,17,11,234,2745,11.73076923076923
40,02,18,13,236,2711,11.48728813559322
41,02,19,11,265,2907,10.969811320754717
42,02,20,11,290,3468,11.958620689655172
43,02,21,11,288,3038,10.54861111111111
44,02,22,11,176,2848,16.181818181818183
45,02,23,11,244,2930,12.008196721311476
46,02,24,13,195,2540,13.025641025641026
