,saison,episode,mot,nb_fois,frequence_%
0,01,01,paul,22,2.8133
1,01,01,date,9,1.1509
2,01,01,love,9,1.1509
3,01,01,everybody,8,1.023
4,01,01,coffee,8,1.023
5,01,01,work,6,0.7673
6,01,01,four,5,0.6394
7,01,01,barry,5,0.6394
8,01,01,life,5,0.6394
9,01,01,shoe,5,0.6394
10,01,01,wine,5,0.6394
11,01,01,real,5,0.6394
12,01,01,goodnight,5,0.6394
13,01,01,phone,4,0.5115
14,01,01,everyone,4,0.5115
15,01,01,knew,4,0.5115
16,01,01,wedding,4,0.5115
17,01,01,scene,4,0.5115
18,01,01,daddy,4,0.5115
19,01,01,push,4,0.5115
20,01,02,carol,8,1.7204
21,01,02,susan,6,1.2903
22,01,02,helen,6,1.2903
23,01,02,ring,5,1.0753
24,01,02,barry,5,1.0753
25,01,02,remember,5,1.0753
26,01,02,happy,5,1.0753
27,01,02,mindy,5,1.0753
28,01,02,comedian,4,0.8602
29,01,02,pregnant,4,0.8602
30,01,02,child,4,0.8602
31,01,02,job,4,0.8602
32,01,02,involved,4,0.8602
33,01,02,baby,4,0.8602
34,01,02,willick,4,0.8602
35,01,02,issues,3,0.6452
36,01,02,lesbian,3,0.6452
37,01,02,pillow,3,0.6452
38,01,02,parents,3,0.6452
39,01,02,work,3,0.6452
40,01,03,alan,19,3.7402
41,01,03,mine,8,1.5748
42,01,03,five,6,1.1811
43,01,03,smoke,6,1.1811
44,01,03,dollars,6,1.1811
45,01,03,change,6,1.1811
46,01,03,meet,6,1.1811
47,01,03,thumb,5,0.9843
48,01,03,fair,5,0.9843
49,01,03,means,4,0.7874
50,01,03,everybody,4,0.7874
51,01,03,live,4,0.7874
52,01,03,farm,4,0.7874
53,01,03,chi,4,0.7874
54,01,03,smoking,4,0.7874
55,01,03,friends,4,0.7874
56,01,03,thousand,4,0.7874
57,01,03,cell,3,0.5906
58,01,03,hand,3,0.5906
59,01,03,promise,3,0.5906
60,01,04,hockey,6,1.0033
61,01,04,carol,6,1.0033
62,01,04,left,6,1.0033
63,01,04,jack,6,1.0033
64,01,04,omnipotent,5,0.8361
65,01,04,love,5,0.8361
66,01,04,fun,5,0.8361
67,01,04,excuse,4,0.6689
68,01,04,remember,4,0.6689
69,01,04,pass,4,0.6689
70,01,04,sit,4,0.6689
71,01,04,gave,4,0.6689
72,01,04,beans,4,0.6689
73,01,04,pizza,4,0.6689
74,01,04,george,4,0.6689
75,01,04,drop,4,0.6689
76,01,04,puck,4,0.6689
77,01,04,took,3,0.5017
78,01,04,buddy,3,0.5017
79,01,04,live,3,0.5017
80,01,05,laundry,13,2.4254
81,01,05,bob,11,2.0522
82,01,05,break,8,1.4925
83,01,05,janice,7,1.306
84,01,05,machine,7,1.306
85,01,05,done,6,1.1194
86,01,05,angela,5,0.9328
87,01,05,suds,5,0.9328
88,01,05,clothes,4,0.7463
89,01,05,close,3,0.5597
90,01,05,date,3,0.5597
91,01,05,breaking,3,0.5597
92,01,05,horrible,3,0.5597
93,01,05,tony,3,0.5597
94,01,05,sweet,3,0.5597
95,01,05,father,3,0.5597
96,01,05,move,3,0.5597
97,01,05,mississippi,3,0.5597
98,01,05,smart,3,0.5597
99,01,05,friends,3,0.5597
100,01,06,ree,9,1.5901
101,01,06,shot,8,1.4134
102,01,06,ethan,7,1.2367
103,01,06,butt,7,1.2367
104,01,06,rick,6,1.0601
105,01,06,part,6,1.0601
106,01,06,pacino,5,0.8834
107,01,06,years,4,0.7067
108,01,06,everybody,4,0.7067
109,01,06,plays,3,0.53
110,01,06,opening,3,0.53
111,01,06,ten,3,0.53
112,01,06,clock,3,0.53
113,01,06,beautiful,3,0.53
114,01,06,women,3,0.53
115,01,06,line,3,0.53
116,01,06,head,3,0.53
117,01,06,aurora,3,0.53
118,01,06,chand,3,0.53
119,01,06,lrr,3,0.53
120,01,07,kitty,12,2.4948
