,n_topics,alpha,coherence,perplexite
0,2,0.01,0.3749,1843.63
1,2,0.05,0.3749,1821.85
2,2,0.1,0.3796,1815.85
3,2,0.3,0.38,1822.08
4,2,auto,0.3781,1829.42
5,3,0.01,0.4074,1932.25
6,3,0.05,0.4077,1889.33
7,3,0.1,0.4143,1883.47
8,3,0.3,0.394,1888.4
9,3,auto,0.3968,1879.21
10,4,0.01,0.4472,2006.03
11,4,0.05,0.4518,1948.48
12,4,0.1,0.4571,1934.22
13,4,0.3,0.4489,1940.35
14,4,auto,0.4456,1933.09
15,5,0.01,0.4014,2087.01
16,5,0.05,0.4228,2006.28
17,5,0.1,0.4019,1992.55
18,5,0.3,0.4045,1997.29
19,5,auto,0.4192,1988.15
20,6,0.01,0.4131,2163.27
21,6,0.05,0.4349,2060.31
22,6,0.1,0.4541,2042.76
23,6,0.3,0.4391,2045.05
24,6,auto,0.4433,2039.32
25,7,0.01,0.4181,2213.57
26,7,0.05,0.4418,2096.47
27,7,0.1,0.4547,2073.83
28,7,0.3,0.4554,2080.28
29,7,auto,0.4369,2072.25
30,8,0.01,0.429,2257.47
31,8,0.05,0.4471,2135.45
32,8,0.1,0.4314,2112.1
33,8,0.3,0.4364,2117.71
34,8,auto,0.4408,2111.61
