n_topics,alpha,coherence,perplexite,saison
5,0.4,0.3926,420.62,1
5,0.5,0.4235,420.29,1
5,0.6,0.4241,418.99,1
5,0.7,0.4043,420.44,1
5,0.8,0.3942,421.31,1
5,0.9,0.3882,422.17,1
5,auto,0.4226,384.96,1
6,0.4,0.4138,443.42,1
6,0.5,0.429,443.22,1
6,0.6,0.4196,443.26,1
6,0.7,0.4117,444.15,1
6,0.8,0.3909,445.64,1
6,0.9,0.3812,446.9,1
6,auto,0.4027,401.66,1
7,0.4,0.3766,468.91,1
7,0.5,0.3787,467.75,1
7,0.6,0.3712,467.57,1
7,0.7,0.3746,468.34,1
7,0.8,0.3872,469.09,1
7,0.9,0.3769,469.68,1
7,auto,0.4002,419.63,1
8,0.4,0.4114,486.84,1
8,0.5,0.4185,482.91,1
8,0.6,0.3853,480.59,1
8,0.7,0.3901,479.64,1
8,0.8,0.389,479.79,1
8,0.9,0.3811,479.29,1
8,auto,0.3688,435.85,1
9,0.4,0.4021,512.8,1
9,0.5,0.3867,503.04,1
9,0.6,0.3899,494.54,1
9,0.7,0.3862,495.18,1
9,0.8,0.3854,493.86,1
9,0.9,0.3909,492.8,1
9,auto,0.3959,452.75,1
10,0.4,0.3766,541.92,1
10,0.5,0.3856,520.45,1
10,0.6,0.3935,514.13,1
10,0.7,0.3862,509.17,1
10,0.8,0.372,505.22,1
10,0.9,0.381,506.6,1
10,auto,0.4047,467.21,1
11,0.4,0.3894,567.38,1
11,0.5,0.4038,540.76,1
11,0.6,0.4105,531.77,1
11,0.7,0.4059,528.52,1
11,0.8,0.3926,522.72,1
11,0.9,0.3955,524.11,1
11,auto,0.3821,489.92,1
12,0.4,0.3828,592.77,1
12,0.5,0.3896,564.38,1
12,0.6,0.3884,543.7,1
12,0.7,0.3954,541.34,1
12,0.8,0.3774,535.41,1
12,0.9,0.3843,535.68,1
12,auto,0.3912,491.65,1
13,0.4,0.3767,620.84,1
13,0.5,0.3882,584.84,1
13,0.6,0.3943,560.47,1
13,0.7,0.4005,556.61,1
13,0.8,0.3919,548.57,1
13,0.9,0.4014,546.15,1
13,auto,0.4009,522.52,1
14,0.4,0.3944,637.16,1
14,0.5,0.3866,597.85,1
14,0.6,0.3952,571.02,1
14,0.7,0.3758,563.8,1
14,0.8,0.3961,561.11,1
14,0.9,0.389,558.23,1
14,auto,0.3795,532.83,1
15,0.4,0.3923,654.18,1
15,0.5,0.3879,614.5,1
15,0.6,0.3918,580.06,1
15,0.7,0.3964,575.59,1
15,0.8,0.4113,572.99,1
15,0.9,0.3939,569.51,1
15,auto,0.3914,553.18,1
