,n_topics,alpha,coherence,perplexite
0,2,0.01,0.385,516.79
1,2,0.05,0.3836,517.45
2,2,0.1,0.3702,519.37
3,2,0.3,0.4072,528.09
4,2,auto,0.449,521.58
5,3,0.01,0.3423,537.14
6,3,0.05,0.3403,536.55
7,3,0.1,0.3453,540.19
8,3,0.3,0.3568,553.29
9,3,auto,0.3557,535.05
10,4,0.01,0.3851,553.6
11,4,0.05,0.3696,553.55
12,4,0.1,0.3742,560.85
13,4,0.3,0.3937,584.48
14,4,auto,0.3772,556.44
15,5,0.01,0.3942,571.07
16,5,0.05,0.3876,574.2
17,5,0.1,0.3815,582.38
18,5,0.3,0.3919,608.94
19,5,auto,0.3863,573.78
20,6,0.01,0.3868,596.78
21,6,0.05,0.3842,598.01
22,6,0.1,0.3999,609.22
23,6,0.3,0.3981,638.88
24,6,auto,0.429,594.09
25,7,0.01,0.3996,608.3
26,7,0.05,0.407,615.76
27,7,0.1,0.4159,630.9
28,7,0.3,0.4095,668.52
29,7,auto,0.4019,612.64
30,8,0.01,0.418,631.56
31,8,0.05,0.4162,644.33
32,8,0.1,0.4228,658.34
33,8,0.3,0.4077,701.44
34,8,auto,0.4278,636.47
