,mot,nb_fois,frequence_%
0,love,1018,0.7866
1,baby,623,0.4814
2,work,576,0.4451
3,married,393,0.3037
4,friend,386,0.2983
5,made,383,0.2959
6,fun,380,0.2936
7,help,379,0.2929
8,remember,369,0.2851
9,room,366,0.2828
10,break,364,0.2813
11,happy,341,0.2635
12,credits,324,0.2504
13,date,315,0.2434
14,end,315,0.2434
15,kind,312,0.2411
16,job,306,0.2365
17,mom,302,0.2334
18,left,300,0.2318
19,life,298,0.2303
20,friends,296,0.2287
21,dad,296,0.2287
22,home,293,0.2264
23,sex,293,0.2264
24,years,285,0.2202
25,coming,283,0.2187
26,wedding,281,0.2171
27,money,275,0.2125
28,party,267,0.2063
29,weird,266,0.2055
30,probably,255,0.197
31,stupid,251,0.194
32,apartment,247,0.1909
33,crazy,247,0.1909
34,done,244,0.1885
35,stay,239,0.1847
36,everybody,239,0.1847
37,saying,238,0.1839
38,phone,237,0.1831
39,idea,236,0.1824
40,game,232,0.1793
41,excuse,230,0.1777
42,course,230,0.1777
43,second,230,0.1777
44,supposed,229,0.177
45,called,228,0.1762
46,head,227,0.1754
47,meet,227,0.1754
48,part,225,0.1739
49,enough,225,0.1739
50,check,222,0.1715
51,came,221,0.1708
52,wants,221,0.1708
53,deal,220,0.17
54,pick,219,0.1692
55,problem,217,0.1677
56,saw,214,0.1654
57,watch,213,0.1646
58,dinner,212,0.1638
59,move,212,0.1638
60,opening,211,0.163
61,live,211,0.163
62,looks,210,0.1623
63,ben,210,0.1623
64,may,205,0.1584
65,emma,203,0.1569
66,eat,203,0.1569
67,commercial,199,0.1538
68,everyone,198,0.153
69,hand,198,0.153
70,anymore,196,0.1515
71,somebody,195,0.1507
72,real,194,0.1499
73,must,192,0.1484
74,matter,190,0.1468
75,face,190,0.1468
76,later,187,0.1445
77,mine,187,0.1445
78,coffee,186,0.1437
79,took,185,0.143
80,forget,184,0.1422
81,cute,184,0.1422
82,hate,183,0.1414
83,couple,183,0.1414
84,hot,181,0.1399
85,knew,180,0.1391
86,sister,180,0.1391
87,kids,180,0.1391
88,person,179,0.1383
89,five,179,0.1383
90,kiss,177,0.1368
91,sweet,177,0.1368
92,found,176,0.136
93,seen,174,0.1345
94,telling,174,0.1345
95,heard,172,0.1329
96,gets,172,0.1329
97,beautiful,172,0.1329
98,mike,171,0.1321
99,gave,171,0.1321
100,house,170,0.1314
101,amazing,165,0.1275
102,women,165,0.1275
103,sleep,165,0.1275
104,question,163,0.126
105,mind,161,0.1244
106,kidding,161,0.1244
107,open,160,0.1236
108,late,160,0.1236
109,emily,159,0.1229
110,true,157,0.1213
111,says,157,0.1213
112,number,157,0.1213
113,makes,157,0.1213
114,making,156,0.1205
115,doctor,156,0.1205
116,food,155,0.1198
117,different,155,0.1198
118,high,155,0.1198
119,birthday,154,0.119
120,four,153,0.1182
121,door,152,0.1175
122,father,152,0.1175
123,though,152,0.1175
124,serious,151,0.1167
125,movie,150,0.1159
126,parents,150,0.1159
127,means,148,0.1144
128,wife,148,0.1144
129,ring,148,0.1144
130,taking,147,0.1136
131,ago,147,0.1136
132,table,146,0.1128
133,minutes,145,0.112
134,naked,145,0.112
135,hair,144,0.1113
136,comes,144,0.1113
137,sounds,143,0.1105
138,sit,142,0.1097
139,world,142,0.1097
140,days,142,0.1097
141,bit,141,0.109
142,moving,141,0.109
143,worry,141,0.109
144,anyone,141,0.109
145,hang,141,0.109
146,gone,140,0.1082
147,fact,139,0.1074
148,without,138,0.1066
149,either,138,0.1066
150,alone,137,0.1059
151,dog,136,0.1051
152,half,136,0.1051
153,bed,135,0.1043
154,office,135,0.1043
155,story,135,0.1043
156,hours,134,0.1035
157,school,133,0.1028
158,cat,133,0.1028
159,wish,132,0.102
160,picture,131,0.1012
161,hope,131,0.1012
162,started,130,0.1005
163,important,130,0.1005
164,chance,130,0.1005
165,met,129,0.0997
166,pants,129,0.0997
167,richard,128,0.0989
168,knows,127,0.0981
169,babies,127,0.0981
170,lost,127,0.0981
171,read,127,0.0981
172,six,126,0.0974
173,perfect,126,0.0974
174,anybody,126,0.0974
175,easy,125,0.0966
176,seriously,125,0.0966
177,wear,125,0.0966
178,run,125,0.0966
179,broke,124,0.0958
180,ass,124,0.0958
181,mad,124,0.0958
182,whatever,124,0.0958
183,wearing,123,0.095
184,seeing,122,0.0943
185,kid,122,0.0943
186,playing,122,0.0943
187,book,122,0.0943
188,car,122,0.0943
189,reason,121,0.0935
190,absolutely,121,0.0935
191,times,121,0.0935
