saison,episode,titre,sujet
01,01,S01E01 Monica Gets A Roommate.txt,"hump, bridesmaids, gippetto, diary, probably"
01,02,S01E02 The Sonogram At The End.txt,"carol, kissing, oberman, sonogram, supposed"
01,03,S01E03 The Thumb.txt,"subway, schhteve, endearing, tipped, emphysema"
01,04,S01E04 George Stephanopoulos.txt,"omnipotent, trashy, tables, specials, walking"
01,05,S01E05 The East German Laundry Detergent.txt,"laundry, rambunctious, mississippi, auditions, figured"
01,06,S01E06 The Butt.txt,"line, trolls, divorced, kidding, nonononononnononono"
01,07,S01E07 The Blackout.txt,"jill, vestibule, lucky, vstbl, priesthood"
01,08,S01E08 Nana Dies Twice.txt,"lowell, exactly, dehydrated, couple, dorothy"
01,09,S01E09 Underdog Gets Away.txt,"thanksgivings, terry, propose, salary, anytime"
01,10,S01E10 The Monkey.txt,"marcel, sneezy, tidying, pressures, sanskrit"
01,11,S01E11 Mrs. Bing.txt,"daily, awww, overslept, condoms, rigatoni"
01,12,S01E12 The Dozen Lasagnas.txt,"aunt, sit, placenta, cappuccino, completely"
01,13,S01E13 The Boobies.txt,"boobies, barge, overshadowing, stay, analytical"
01,14,S01E14 The Candy Hearts.txt,"phoebes, break, nokululu, pathetic, sacramental"
01,15,S01E15 The Stoned Guy.txt,"waitress, cappuccino, hemp, supposed, structure"
01,16,S01E16 The Two Parts Part I.txt,"carol, heckles, aprons, dumb, rift"
01,17,S01E17 The Two Parts Part II.txt,"doctor, uptown, sucedio, supposed, returning"
01,18,S01E18 All The Poker.txt,"poker, resumes, yas, proofread, visa"
01,19,S01E19 The Monkey Gets Away.txt,"barry, unclench, buses, enjoy, confiscation"
01,20,S01E20 The Evil Orthodontist.txt,"salty, oatmeal, interestingly, orthodontists, walk"
01,21,S01E21 The Fake Monica.txt,"credit, cheerleader, definitely, interactive, nononononono"
01,22,S01E22 The Ick Factor.txt,"office, lasagne, subconscious, ignore, interesting"
01,23,S01E23 The Birth.txt,"babies, ewing, definitely, ironic, knapsack"
01,24,S01E24 Rachel Finds Out.txt,"ben, ewww, coffeehouse, fertility, regulations"
02,01,S02E01 Rosss New Girlfriend.txt,"cab, ewww, slowpokes, unbelievable, weddings"
02,02,S02E02 The Breast Milk.txt,"shopping, bijan, joanne, unbelievably, exactly"
02,03,S02E03 Heckles Dies.txt,"joan, sneezed, bats, agree, recycle"
02,04,S02E04 Phoebes Husband.txt,"snoopy, pajamas, begs, struts, paleontologist"
02,05,S02E05 Five Steaks And An Eggplant.txt,"julie, midgets, probably, thai, enjoy"
02,06,S02E06 The Baby On The Bus.txt,"benny, babies, thcrabble, mmmm, mole"
02,07,S02E07 Ross Finds Out.txt,"cats, lifts, probably, phoebs, cheers"
02,08,S02E08 The List.txt,"chef, mockolate, especially, hangs, transmits"
02,09,S02E09 Phoebes Dad.txt,"ornaments, gershwin, hangs, cared, sauna"
02,10,S02E10 Russ.txt,"sober, ewww, tribbiana, tables, neurosurgeon"
02,11,S02E11 The Lesbian Wedding.txt,"diaper, subtitles, rockefeller, supposed, sent"
02,12,S02E12-S02E13 The Superbowl.txt,"monkey, fatigues, baking, alrighty, salem"
02,14,S02E14 The Prom Video.txt,"casey, endtable, paycheck, especially, gestures"
02,15,S02E15 Ross And Rachel... You Know.txt,"peeking, recliners, cows, dare, opthamologist"
02,16,S02E16 Joey Moves Out.txt,"lick, weekends, mouldings, speedster, exactly"
02,17,S02E17 Eddie Moves In.txt,"casa, kinds, muppet, hangs, definitely"
02,18,S02E18 Dr. Ramoray Dies.txt,"drake, definitely, phoebs, irony, scripts"
02,19,S02E19 Eddie Wont Go.txt,"eddie, dab, paycheck, goddesses, tiles"
02,20,S02E20 Old Yeller Dies.txt,"knicks, guacamole, sitting, fields, waved"
02,21,S02E21 The Bullies.txt,"diner, hhhiiii, pulls, initials, becuase"
02,22,S02E22 The Two Parties.txt,"candles, shannon, table, shhh, commencement"
02,23,S02E23 The Chicken Pox.txt,"taffy, submaring, central, crashes, supposed"
02,24,S02E24 Barry And Mindys Wedding.txt,"beatty, weddings, awww, syphilis, flashing"
03,01,S03E01 The Princess Leia Fantasy.txt,"janice, blinking, eww, yankin, waterfalls"
03,02,S03E02 No Ones Ready.txt,"hummus, sit, stairs, cared, spooky"
03,03,S03E03 The Jam.txt,"jam, cuddlily, probably, nyu, average"
03,04,S03E04 The Metaphorical Tunnel.txt,"bunny, rejections, notepads, unless, welcome"
03,05,S03E05 Frank Jr..txt,"celebrities, forest, tile, anyways, reimburse"
03,06,S03E06 The Flashback.txt,"janice, weekends, lemonade, awwww, notices"
03,07,S03E07 The Race Car Bed.txt,"carl, neighbourhood, appalled, mattresses, opera"
03,08,S03E08 The Giant Poking Device.txt,"dentists, hammock, janice, awfully, display"
03,09,S03E09 The Football.txt,"break, touchdowns, marshmellows, pennsylvania, defiantly"
03,10,S03E10 Rachel Quits.txt,"slots, snoopy, tinsel, cheer, nyu"
03,11,S03E11 Chandler Cant Remember Which Sister.txt,"punch, rockefeller, seamstress, yay, storage"
03,12,S03E12 All The Jealousy.txt,"strippers, albert, senorita, resume, supposed"
03,13,S03E13 Monica And Richard Are Just Friends.txt,"freezer, tuesday, honest, proposes, vertigo"
03,14,S03E14 Phoebes Ex-Partner.txt,"jingles, leslie, vlad, bummer, layering"
03,15,S03E15 Ross And Rachel Take A Break.txt,"diplomat, olives, crazy, button, doodle"
03,16,S03E16 The Morning After.txt,"chloe, anniversary, depths, organic, supposed"
03,17,S03E17 The Ski Trip.txt,"comics, anniversary, mosey, shoulda, unsupported"
03,18,S03E18 The Hypnosis Tape.txt,"exercise, hypnosis, babies, bachelor, fair"
03,19,S03E19 The Tiny T-Shirt.txt,"lover, daddie, unless, neurosurgeon, deconstructing"
03,20,S03E20 The Dollhouse.txt,"dollhouse, gaelic, sneezes, stay, supposed"
03,21,S03E21 The Chick And The Duck.txt,"diner, skates, especially, crumpled, gallivanting"
03,22,S03E22 The Screamer.txt,"dad, mannered, estelle, supposed, riboflavin"
03,23,S03E23 Rosss Thing.txt,"duck, abnormality, gim, nicest, wedding"
03,24,S03E24 The Ultimate Fighting Champion.txt,"pete, missouri, pretzel, average, supposed"
04,01,S04E01 The Jellyfish.txt,"seashores, awww, nuclear, tips, gin"
04,02,S04E02 The Cat.txt,"ripped, chipper, prom, compartments, pardon"
04,03,S04E03 The Cuffs.txt,"bagels, occurrence, homerun, meant, tunnel"
04,04,S04E04 The Ballroom Dancing.txt,"lycra, treeger, massages, closures, unless"
04,05,S04E05 Joeys New Girlfriend.txt,"chucky, streets, cell, fetch, advice"
04,06,S04E06 The Dirty Girl.txt,"caterers, era, aerobics, probably, goodnight"
04,07,S04E07 Chandler Crosses The Line.txt,"walk, roommates, tainted, bha, electrifying"
04,08,S04E08 Chandler In A Box.txt,"freezer, ewwwww, sit, agree, merry"
04,09,S04E09 Theyre Going To Party.txt,"gandolf, chicago, bumblebees, probably, equator"
