saison,episode,sujet
01,01,"paul, stairs, spoon, chachi, goodnight"
01,02,"comedian, helen, pillow, minnie, julia"
01,03,"alan, smoke, farm, smoking, thumb"
01,04,"hockey, omnipotent, jack, beans, puck"
01,05,"laundry, bob, suds, janice, mississippi"
01,06,"ree, rick, pacino, ethan, chand"
01,07,"kitty, jill, blah, cat, vestibule"
01,08,"brian, nana, lowell, quality, rome"
01,09,"thanksgiving, potatoes, keys, shoop, turkey"
01,10,"minsk, pact, max, bobby, janice"
01,11,"kissed, nora, code, mom, woo"
01,12,"pig, lasagna, kip, paolo, birds"
01,13,"ronni, boobies, roger, rog, weebles"
01,14,"janice, valentine, egg, win, kristin"
01,15,"wendy, tartlets, celia, dirty, ahem"
01,16,"nina, douglas, err, heckles, ursula"
01,17,"rosen, waddawe, mitchell, betty, insurance"
01,18,"poker, cards, mee, win, fold"
01,19,"luisa, marcel, heckles, monkey, hugh"
01,20,"mindy, needy, danielle, farber, chair"
01,21,"stalin, diego, humping, monana, joseph"
01,22,"boss, ethan, belive, icky, gunpoint"
01,23,"ben, franzblau, jordie, breathe, push"
01,24,"china, fruit, book, bone, pardon"
